step,timestamp,reward,balance,realized_pnl,unrealized_pnl,position,action,trade_pnl,trade_fee
0,2024-09-26 00:00:00,-10.0,100000.0,0.0,-10.0,1,1,0.0,0.0
1,2024-09-26 00:05:00,0.0,100000.0,0.0,23.24497955882847,1,1,0.0,0.0
2,2024-09-26 00:10:00,19.530616829147394,100019.53061682914,19.530616829147394,-10.001953061682915,-1,0,19.530616829147394,20.00395345702862
3,2024-09-26 00:15:00,-12.69695294357724,100019.53061682914,19.530616829147394,-12.69695294357724,-1,0,0.0,0.0
4,2024-09-26 00:20:00,-22.578619177183118,100019.53061682914,19.530616829147394,-22.578619177183118,-1,0,0.0,0.0
5,2024-09-26 00:25:00,-33.48025303277841,99986.05036379637,-13.949636203631012,-9.998605036379638,1,1,-33.48025303277841,20.00525362330678
6,2024-09-26 00:30:00,-6.406958562471333,99986.05036379637,-13.949636203631012,-6.406958562471333,1,1,0.0,0.0
7,2024-09-26 00:35:00,-2.8153120885630267,99986.05036379637,-13.949636203631012,-2.8153120885630267,1,1,0.0,0.0
8,2024-09-26 00:40:00,-32.56671565516251,99953.4836481412,-46.51635185879353,-9.995348364814122,-1,0,-32.56671565516251,19.995952996493408
9,2024-09-26 00:45:00,-20.768132663169556,99953.4836481412,-46.51635185879353,-20.768132663169556,-1,0,0.0,0.0
10,2024-09-26 00:50:00,-20.768132663169556,99953.4836481412,-46.51635185879353,-20.768132663169556,-1,0,0.0,0.0
11,2024-09-26 00:55:00,-23.461328737753433,99953.4836481412,-46.51635185879353,-23.461328737753433,-1,0,0.0,0.0
12,2024-09-26 01:00:00,-36.92730911067281,99953.4836481412,-46.51635185879353,-36.92730911067281,-1,0,0.0,0.0
13,2024-09-26 01:05:00,-25.256792787469372,99953.4836481412,-46.51635185879353,-25.256792787469372,-1,0,0.0,0.0
14,2024-09-26 01:10:00,-39.742776287057936,99913.74087185414,-86.25912814585146,-9.991374087185415,1,1,-39.742776287057936,19.99267174008294
15,2024-09-26 01:15:00,-9.09417629197439,99913.74087185414,-86.25912814585146,-9.09417629197439,1,1,0.0,0.0
16,2024-09-26 01:20:00,-29.729725582146713,99913.74087185414,-86.25912814585146,-29.729725582146713,1,1,0.0,0.0
17,2024-09-26 01:25:00,-22.552143220338984,99913.74087185414,-86.25912814585146,-22.552143220338984,1,1,0.0,0.0
18,2024-09-26 01:30:00,-43.187692510511305,99913.74087185414,-86.25912814585146,-43.187692510511305,1,1,0.0,0.0
19,2024-09-26 01:35:00,-24.346538810800872,99913.74087185414,-86.25912814585146,-24.346538810800872,1,1,0.0,0.0
20,2024-09-26 01:40:00,-19.085640098939326,99894.6552317552,-105.34476824479079,-9.98946552317552,-1,0,-19.085640098939326,19.98283789415035
21,2024-09-26 01:45:00,-13.57753894906581,99894.6552317552,-105.34476824479079,-13.57753894906581,-1,0,0.0,0.0
22,2024-09-26 01:50:00,-30.74422774604968,99863.91100400915,-136.08899599084046,-9.986391100400915,1,1,-30.74422774604968,19.98000746837881
23,2024-09-26 01:55:00,0.0,99863.91100400915,-136.08899599084046,0.7733568865538842,1,1,0.0,0.0
24,2024-09-26 02:00:00,0.0,99863.91100400915,-136.08899599084046,7.946522211203693,1,1,0.0,0.0
25,2024-09-26 02:05:00,-2.8132257757511088,99863.91100400915,-136.08899599084046,-2.8132257757511088,1,1,0.0,0.0
26,2024-09-26 02:10:00,-10.11066618964546,99853.8003378195,-146.19966218048592,-9.98538003378195,-1,0,-10.11066618964546,19.973768511033967
27,2024-09-26 02:15:00,-12.798312132063701,99841.00202568744,-158.99797431254962,-9.984100202568744,1,1,-12.798312132063701,19.97004289448766
28,2024-09-26 02:20:00,-9.21228617517466,99831.78973951227,-168.21026048772427,-9.983178973951228,-1,0,-9.21228617517466,19.969276104130383
29,2024-09-26 02:25:00,-22.53049072862814,99831.78973951227,-168.21026048772427,-22.53049072862814,-1,0,0.0,0.0
30,2024-09-26 02:30:00,-28.8041466059666,99831.78973951227,-168.21026048772427,-28.8041466059666,-1,0,0.0,0.0
31,2024-09-26 02:35:00,-39.685533854247595,99792.10420565802,-207.89579434197185,-9.979210420565803,1,1,-39.685533854247595,19.968329668321047
32,2024-09-26 02:40:00,-31.601400277258076,99760.50280538076,-239.49719461922993,-9.976050280538077,-1,0,-31.601400277258076,19.957256426746554
33,2024-09-26 02:45:00,-23.408913610365445,99760.50280538076,-239.49719461922993,-23.408913610365445,-1,0,0.0,0.0
34,2024-09-26 02:50:00,-9.204735268127983,99751.29807011264,-248.70192988735792,-9.975129807011264,1,1,-9.204735268127983,19.951025932009763
35,2024-09-26 02:55:00,0.0,99751.29807011264,-248.70192988735792,6.144555302226941,1,1,0.0,0.0
36,2024-09-26 03:00:00,7.808644128333388,99759.10671424097,-240.89328575902454,-9.975910671424097,-1,0,7.808644128333388,19.953035782013565
37,2024-09-26 03:05:00,-1.9176798610756318,99759.10671424097,-240.89328575902454,-1.9176798610756318,-1,0,0.0,0.0
38,2024-09-26 03:10:00,-34.27899758008271,99724.82771666089,-275.17228333910725,-9.97248277166609,1,1,-34.27899758008271,19.953253917214482
39,2024-09-26 03:15:00,0.0,99724.82771666089,-275.17228333910725,2.5564364812668305,1,1,0.0,0.0
40,2024-09-26 03:20:00,-3.708023145209566,99724.82771666089,-275.17228333910725,-3.708023145209566,1,1,0.0,0.0
41,2024-09-26 03:25:00,-16.23694239814249,99724.82771666089,-275.17228333910725,-16.23694239814249,1,1,0.0,0.0
42,2024-09-26 03:30:00,-18.921710809506546,99724.82771666089,-275.17228333910725,-18.921710809506546,1,1,0.0,0.0
43,2024-09-26 03:35:00,-39.63129839638107,99685.1964182645,-314.8035817354883,-9.96851964182645,-1,0,-39.63129839638107,19.942996713163858
44,2024-09-26 03:40:00,-12.778373076206233,99672.4180451883,-327.5819548116945,-9.96724180451883,1,1,-12.778373076206233,19.93632348861166
45,2024-09-26 03:45:00,-27.861108819200048,99672.4180451883,-327.5819548116945,-27.861108819200048,1,1,0.0,0.0
46,2024-09-26 03:50:00,-39.61576899980744,99632.8022761885,-367.197723811502,-9.963280227618851,-1,0,-39.61576899980744,19.932515283666046
47,2024-09-26 03:55:00,-36.029429680212814,99596.77284650828,-403.22715349171483,-9.959677284650827,1,1,-36.029429680212814,19.928170581147608
48,2024-09-26 04:00:00,-21.70726862980212,99575.06557787847,-424.93442212151695,-9.957506557787848,-1,0,-21.70726862980212,19.919175760014674
49,2024-09-26 04:05:00,-0.12496269382973502,99575.06557787847,-424.93442212151695,-0.12496269382973502,-1,0,0.0,0.0
50,2024-09-26 04:10:00,-10.081485997231185,99564.98409188124,-435.01590811874814,-9.956498409188123,1,1,-10.081485997231185,19.9140298611893
51,2024-09-26 04:15:00,0.0,99564.98409188124,-435.01590811874814,5.239213204932158,1,1,0.0,0.0
52,2024-09-26 04:20:00,-6.506356780463191,99558.47773510078,-441.52226489921134,-9.95584777351008,-1,0,-6.506356780463191,19.914337616459846
53,2024-09-26 04:25:00,-8.168474517470733,99558.47773510078,-441.52226489921134,-8.168474517470733,-1,0,0.0,0.0
54,2024-09-26 04:30:00,0.0,99558.47773510078,-441.52226489921134,0.7683917627855372,-1,0,0.0,0.0
55,2024-09-26 04:35:00,-34.97907335818,99558.47773510078,-441.52226489921134,-34.97907335818,-1,0,0.0,0.0
56,2024-09-26 04:40:00,-17.105340797707157,99558.47773510078,-441.52226489921134,-17.105340797707157,-1,0,0.0,0.0
57,2024-09-26 04:45:00,-43.14987146086376,99515.32786363992,-484.6721363600751,-9.951532786363993,1,1,-43.14987146086376,19.91401913225302
58,2024-09-26 04:50:00,-24.36807330555195,99490.95979033437,-509.04020966562706,-9.949095979033435,-1,0,-24.36807330555195,19.90261902730016
59,2024-09-26 04:55:00,-0.1270614108184347,99490.95979033437,-509.04020966562706,-0.1270614108184347,-1,0,0.0,0.0
60,2024-09-26 05:00:00,-10.075175186395052,99480.88461514797,-519.1153848520221,-9.948088461514798,1,1,-10.075175186395052,19.897209754610053
61,2024-09-26 05:05:00,-1.9118988092729357,99480.88461514797,-519.1153848520221,-1.9118988092729357,1,1,0.0,0.0
62,2024-09-26 05:10:00,0.0,99480.88461514797,-519.1153848520221,7.91011076570256,1,1,0.0,0.0
63,2024-09-26 05:15:00,0.0,99480.88461514797,-519.1153848520221,23.089580108839293,1,1,0.0,0.0
64,2024-09-26 05:20:00,20.28075324339325,99501.16536839136,-498.83463160862885,-9.950116536839136,-1,0,20.28075324339325,19.900195017855722
65,2024-09-26 05:25:00,-24.36433651647219,99476.80103187489,-523.198968125101,-9.947680103187489,1,1,-24.36433651647219,19.900679439385982
66,2024-09-26 05:30:00,-9.186757810738312,99467.61427406415,-532.3857259358393,-9.946761427406416,-1,0,-9.186757810738312,19.896431173711274
67,2024-09-26 05:35:00,-16.32398875589861,99451.29028530825,-548.709714691738,-9.945129028530824,1,1,-16.32398875589861,19.893165937094714
68,2024-09-26 05:40:00,-25.242801978629522,99426.04748332962,-573.9525166703675,-9.942604748332963,-1,0,-25.242801978629522,19.8897227491387
69,2024-09-26 05:45:00,-32.37447832995183,99393.67300499967,-606.3269950003192,-9.939367300499969,1,1,-32.37447832995183,19.886458298669055
70,2024-09-26 05:50:00,-20.770244438262445,99372.90276056141,-627.0972394385817,-9.93729027605614,-1,0,-20.770244438262445,19.87864544110022
71,2024-09-26 05:55:00,-13.63401182173735,99359.26874873968,-640.731251260319,-9.935926874873967,1,1,-13.63401182173735,19.873956557638692
72,2024-09-26 06:00:00,16.670019809924355,99375.9387685496,-624.0612314503946,-9.93759387685496,-1,0,16.670019809924355,19.875508302559183
73,2024-09-26 06:05:00,-0.1346567096285245,99375.9387685496,-624.0612314503946,-0.1346567096285245,-1,0,0.0,0.0
74,2024-09-26 06:10:00,0.0,99375.9387685496,-624.0612314503946,3.430047714819251,-1,0,0.0,0.0
75,2024-09-26 06:15:00,0.0,99375.9387685496,-624.0612314503946,13.232984882045686,-1,0,0.0,0.0
76,2024-09-26 06:20:00,-10.071270292766762,99365.86749825683,-634.1325017431614,-9.936586749825684,1,1,-10.071270292766762,19.874207459993197
77,2024-09-26 06:25:00,0.0,99365.86749825683,-634.1325017431614,3.431018743221774,1,1,0.0,0.0
78,2024-09-26 06:30:00,0.0,99365.86749825683,-634.1325017431614,15.90745053670767,1,1,0.0,0.0
79,2024-09-26 06:35:00,5.077194801001301,99370.94469305784,-629.0553069421601,-9.937094469305784,-1,0,5.077194801001301,19.875668786010067
80,2024-09-26 06:40:00,-20.765273525315997,99350.17941953252,-649.8205804674761,-9.935017941953253,1,1,-20.765273525315997,19.874278038160284
81,2024-09-26 06:45:00,0.0,99350.17941953252,-649.8205804674761,15.007418767310588,1,1,0.0,0.0
82,2024-09-26 06:50:00,-7.400064651110052,99342.77935488141,-657.2206451185862,-9.934277935488142,-1,0,-7.400064651110052,19.871283005741972
83,2024-09-26 06:55:00,-0.13742315390587123,99342.77935488141,-657.2206451185862,-0.13742315390587123,-1,0,0.0,0.0
84,2024-09-26 07:00:00,-27.7467411747538,99342.77935488141,-657.2206451185862,-27.7467411747538,-1,0,0.0,0.0
85,2024-09-26 07:05:00,-22.403002202978058,99342.77935488141,-657.2206451185862,-22.403002202978058,-1,0,0.0,0.0
86,2024-09-26 07:10:00,-29.527987498692234,99342.77935488141,-657.2206451185862,-29.527987498692234,-1,0,0.0,0.0
87,2024-09-26 07:15:00,-43.027073702258576,99299.75228117914,-700.2477188208447,-9.929975228117916,1,1,-43.027073702258576,19.87087149119739
88,2024-09-26 07:20:00,-29.64930095114035,99270.102980228,-729.8970197719851,-9.9270102980228,-1,0,-29.64930095114035,19.858971423283045
89,2024-09-26 07:25:00,0.0,99270.102980228,-729.8970197719851,51.472773721379845,-1,0,0.0,0.0
90,2024-09-26 07:30:00,0.0,99270.102980228,-729.8970197719851,31.89603099054837,-1,0,0.0,0.0
91,2024-09-26 07:35:00,63.80042658935445,99333.90340681735,-666.0965931826307,-9.933390340681735,1,1,63.80042658935445,19.845655987787886
92,2024-09-26 07:40:00,0.0,99333.90340681735,-666.0965931826307,11.454803890314773,1,1,0.0,0.0
93,2024-09-26 07:45:00,0.0,99333.90340681735,-666.0965931826307,3.4342310536787153,1,1,0.0,0.0
94,2024-09-26 07:50:00,9.539045509542543,99343.4424523269,-656.5575476730882,-9.93434424523269,-1,0,9.539045509542543,19.869721558070232
95,2024-09-26 07:55:00,0.0,99343.4424523269,-656.5575476730882,84.51129016598246,-1,0,0.0,0.0
96,2024-09-26 08:00:00,167.259298157427,99510.70175048432,-489.29824951566115,-9.951070175048432,1,1,167.259298157427,19.84997756289335
97,2024-09-26 08:05:00,0.0,99510.70175048432,-489.29824951566115,15.085992995080495,1,1,0.0,0.0
98,2024-09-26 08:10:00,11.391058979668028,99522.092809464,-477.90719053599315,-9.9522092809464,-1,0,11.391058979668028,19.905269982993133
99,2024-09-26 08:15:00,-59.244441026677265,99462.84836843732,-537.1516315626704,-9.946284836843734,1,1,-59.244441026677265,19.90835217077839
100,2024-09-26 08:20:00,-52.04156016460022,99410.80680827273,-589.1931917272707,-9.941080680827273,-1,0,-52.04156016460022,19.88935445311632
101,2024-09-26 08:25:00,15.838937313973808,99426.6457455867,-573.3542544132969,-9.94266457455867,1,1,15.838937313973808,19.87858960896225
102,2024-09-26 08:30:00,51.5796384713346,99478.22538405804,-521.7746159419622,-9.947822538405806,-1,0,51.5796384713346,19.892476360600533
103,2024-09-26 08:35:00,-66.34787643843298,99411.8775076196,-588.1224923803952,-9.94118775076196,1,1,-66.34787643843298,19.900289835471906
104,2024-09-26 08:40:00,-47.53813491991757,99364.33937269969,-635.6606273003127,-9.93643393726997,-1,0,-47.53813491991757,19.87960964899683
105,2024-09-26 08:45:00,0.0,99364.33937269969,-635.6606273003127,19.500622910217785,-1,0,0.0,0.0
106,2024-09-26 08:50:00,0.0,99364.33937269969,-635.6606273003127,28.420943167032853,-1,0,0.0,0.0
107,2024-09-26 08:55:00,0.0,99364.33937269969,-635.6606273003127,17.71655885886269,-1,0,0.0,0.0
108,2024-09-26 09:00:00,-60.910444403223245,99303.42892829646,-696.571071703536,-9.930342892829646,1,1,-60.910444403223245,19.876971221858078
109,2024-09-26 09:05:00,4.197072964179835,99307.62600126064,-692.3739987393561,-9.930762600126064,-1,0,4.197072964179835,19.863091802135926
110,2024-09-26 09:10:00,-24.316665728298368,99283.30933553234,-716.6906644676545,-9.928330933553234,1,1,-24.316665728298368,19.86197066975798
111,2024-09-26 09:15:00,-45.68382501679281,99237.62551051554,-762.3744894844474,-9.923762551051555,-1,0,-45.68382501679281,19.854078892494037
112,2024-09-26 09:20:00,-34.98758556192155,99202.63792495363,-797.362075046369,-9.920263792495362,1,1,-34.98758556192155,19.849038956763625
113,2024-09-26 09:25:00,0.0,99202.63792495363,-797.362075046369,16.78132639697933,1,1,0.0,0.0
114,2024-09-26 09:30:00,18.42792445866053,99221.06584941229,-778.9341505877085,-9.922106584941229,-1,0,18.42792445866053,19.84435481291788
115,2024-09-26 09:35:00,-6.494752906735405,99214.57109650556,-785.4289034944438,-9.921457109650555,1,1,-6.494752906735405,19.842878357337398
116,2024-09-26 09:40:00,-26.071846788469276,99188.49924971709,-811.5007502829131,-9.91884992497171,-1,0,-26.071846788469276,19.842291263748642
117,2024-09-26 09:45:00,-15.257400988838988,99188.49924971709,-811.5007502829131,-15.257400988838988,-1,0,0.0,0.0
118,2024-09-26 09:50:00,-35.85495460686441,99152.64429511022,-847.3557048897776,-9.915264429511023,1,1,-35.85495460686441,19.83930141526258
119,2024-09-26 09:55:00,-34.8154764574193,99152.64429511022,-847.3557048897776,-34.8154764574193,1,1,0.0,0.0
120,2024-09-26 10:00:00,-90.96687744958659,99061.67741766064,-938.3225823393642,-9.906167741766064,-1,0,-90.96687744958659,19.82341451272836
121,2024-09-26 10:05:00,-21.59074403499604,99040.08667362564,-959.9133263743603,-9.904008667362564,1,1,-21.59074403499604,19.812513306604966
122,2024-09-26 10:10:00,-0.12604681729864353,99040.08667362564,-959.9133263743603,-0.12604681729864353,1,1,0.0,0.0
123,2024-09-26 10:15:00,-4.57057493097124,99040.08667362564,-959.9133263743603,-4.57057493097124,1,1,0.0,0.0
124,2024-09-26 10:20:00,4.190034433874192,99044.27670805952,-955.7232919404861,-9.904427670805953,-1,0,4.190034433874192,19.810417379906507
125,2024-09-26 10:25:00,-55.36152477881211,98988.91518328071,-1011.0848167192983,-9.898891518328071,1,1,-55.36152477881211,19.81241025306448
126,2024-09-26 10:30:00,-50.871609741685546,98938.04357353902,-1061.9564264609837,-9.893804357353904,-1,0,-50.871609741685546,19.794675343216298
